source_id,alias,source_path,target_path,status,authority,operation,source_sha256,target_sha256,note
S012,K15,02_project_knowledge/法术环级标准_草案_v1_2_.md,01_CURRENT_CANON/魔法体系与魔法法/法术环级标准_草案_v1_2_.md,CURRENT_CANON,CURRENT_CANON,COPY,a973e1b190dd698bc75287eb98e450751e8feeb783fffd2a05f244082269a125,a973e1b190dd698bc75287eb98e450751e8feeb783fffd2a05f244082269a125,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S075,H02,02_project_knowledge/环级认定规程_修订稿_v1_1.md,03_UNRESOLVED/02_project_knowledge/环级认定规程_修订稿_v1_1.md,UNRESOLVED,undetermined,COPY,7fd4cff22dfc829405decfcd53e88bdb8930286b4319b0f4739ab178de04e52f,7fd4cff22dfc829405decfcd53e88bdb8930286b4319b0f4739ab178de04e52f,整文件状态未决；条款优先级另见冲突/改进版映射，不整份升格或废弃。
S013,K21,02_project_knowledge/环级认定规程_草案_v1_1_.md,01_CURRENT_CANON/魔法体系与魔法法/环级认定规程_草案_v1_1_.md,CURRENT_CANON,CURRENT_CANON,COPY,890ffd46c51bb0e1aa3fb230de5cce1a9d6938501e62835960c470b40902d23b,890ffd46c51bb0e1aa3fb230de5cce1a9d6938501e62835960c470b40902d23b,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S014,K09,02_project_knowledge/白塔相关.txt,04_REFERENCE/02_project_knowledge/白塔相关.txt,REFERENCE,REFERENCE,COPY,d719fd308cf03623a28c57768f5d29d4591951b95411e5a4f6bb99c63aa89059,d719fd308cf03623a28c57768f5d29d4591951b95411e5a4f6bb99c63aa89059,原著、参考附件、包装元数据或其他非正式正文。
S015,K16,02_project_knowledge/白塔章程_草案_v2_0_.md,05_SUPERSEDED/02_project_knowledge/白塔章程_草案_v2_0_.md,SUPERSEDED,historical text,COPY,789c65e7568cf4b9f68591e496b945d656a3954c3595276283b8ce912dd99df8,789c65e7568cf4b9f68591e496b945d656a3954c3595276283b8ce912dd99df8,有明确后续替代关系的旧正文；保留沿革。
S016,K28,02_project_knowledge/白塔章程_草案_v2_1_.md,01_CURRENT_CANON/学术与研究机构/白塔章程_草案_v2_1_.md,CURRENT_CANON,CURRENT_CANON,COPY,4597eea2f7a2812a9a8acb636cd26f47cf173783ef7acbf97140641967a3ffb9,4597eea2f7a2812a9a8acb636cd26f47cf173783ef7acbf97140641967a3ffb9,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S017,K17,02_project_knowledge/白银学会章程_草案_v1_0_.md,05_SUPERSEDED/02_project_knowledge/白银学会章程_草案_v1_0_.md,SUPERSEDED,historical text,COPY,34055c75bec46511c6377fa5739444cd1372ea1cf490135591c78b75bac122b5,34055c75bec46511c6377fa5739444cd1372ea1cf490135591c78b75bac122b5,有明确后续替代关系的旧正文；保留沿革。
S018,K27,02_project_knowledge/白银学会章程_草案_v1_1_.md,01_CURRENT_CANON/学术与研究机构/白银学会章程_草案_v1_1_.md,CURRENT_CANON,CURRENT_CANON,COPY,9b3d2dfb898328bb147ca427d50d0c44a083ee410465ed65f2f73974fd5cb733,9b3d2dfb898328bb147ca427d50d0c44a083ee410465ed65f2f73974fd5cb733,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S019,K10,02_project_knowledge/白银执政院_修订稿_v2_7_.md,01_CURRENT_CANON/宪政与治理/白银执政院_修订稿_v2_7_.md,CURRENT_CANON,CURRENT_CANON,COPY,a16e3d42cc604097e60033496187ab35e4593a3f8c653c1449475af54c99b959,a16e3d42cc604097e60033496187ab35e4593a3f8c653c1449475af54c99b959,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S020,K14,02_project_knowledge/白银议会组织法_v3_5.md,01_CURRENT_CANON/宪政与治理/白银议会组织法_v3_5.md,CURRENT_CANON,CURRENT_CANON,COPY,87cb102b8c0fd242885577b654cd312d4809904d35c65bf7d7bc091c0aa69a92,87cb102b8c0fd242885577b654cd312d4809904d35c65bf7d7bc091c0aa69a92,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S021,K25,02_project_knowledge/盟约监察院组织法_草案_v1_3_.md,01_CURRENT_CANON/司法监察与治安/盟约监察院组织法_草案_v1_3_.md,CURRENT_CANON,CURRENT_CANON,COPY,81ada2da91572b62a486f2c669cd862d7483eaeed225d49a03339342c650b2b4,81ada2da91572b62a486f2c669cd862d7483eaeed225d49a03339342c650b2b4,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S022,K23,02_project_knowledge/禁术管制委员会组织架构_草案_v1_2_.md,01_CURRENT_CANON/魔法体系与魔法法/禁术管制委员会组织架构_草案_v1_2_.md,CURRENT_CANON,CURRENT_CANON,COPY,6435723c1d2c3011033d1926c0d9a379db2676c101dff48d4ef012c53552a008,6435723c1d2c3011033d1926c0d9a379db2676c101dff48d4ef012c53552a008,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S076,H03,02_project_knowledge/禁魔分区规程_修订稿_v1_1.md,03_UNRESOLVED/02_project_knowledge/禁魔分区规程_修订稿_v1_1.md,UNRESOLVED,undetermined,COPY,78cef86ec8a7a02bfe48d0ad5eec1c9b9ffee7fe23981267523627d930c98abb,78cef86ec8a7a02bfe48d0ad5eec1c9b9ffee7fe23981267523627d930c98abb,整文件状态未决；条款优先级另见冲突/改进版映射，不整份升格或废弃。
S023,K13,02_project_knowledge/禁魔分区规程_草案_v1_1_.md,01_CURRENT_CANON/魔法体系与魔法法/禁魔分区规程_草案_v1_1_.md,CURRENT_CANON,CURRENT_CANON,COPY,9b200cf15c7e74b95b9c9321dba40e89f81e796640a96ad23b2f6ee38b94d9d8,9b200cf15c7e74b95b9c9321dba40e89f81e796640a96ad23b2f6ee38b94d9d8,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S024,K06,02_project_knowledge/素材1.txt,04_REFERENCE/02_project_knowledge/素材1.txt,REFERENCE,REFERENCE,COPY,730e87e94e6bdc083f84f4d03422def6448558055fec03272262964958cf19d7,730e87e94e6bdc083f84f4d03422def6448558055fec03272262964958cf19d7,原著、参考附件、包装元数据或其他非正式正文。
S025,K08,02_project_knowledge/联盟共同工程与战略拨款呈批件.html,03_UNRESOLVED/02_project_knowledge/联盟共同工程与战略拨款呈批件.html,UNRESOLVED,undetermined,COPY,0496ad3446123e87adeb057d73932c4451a6f0c0e4b2aae30b50fe189d7b25a7,0496ad3446123e87adeb057d73932c4451a6f0c0e4b2aae30b50fe189d7b25a7,整文件状态未决；条款优先级另见冲突/改进版映射，不整份升格或废弃。
S026,K02,02_project_knowledge/舰队相关.txt,04_REFERENCE/02_project_knowledge/舰队相关.txt,REFERENCE,REFERENCE,COPY,debf683ccda5a613c1b926b2509234d89c945bbf056abaf6e9e4724a670b606f,debf683ccda5a613c1b926b2509234d89c945bbf056abaf6e9e4724a670b606f,原著、参考附件、包装元数据或其他非正式正文。
S027,K26,02_project_knowledge/裁断体系组织法_草案_v1_4_.md,01_CURRENT_CANON/司法监察与治安/裁断体系组织法_草案_v1_4_.md,CURRENT_CANON,CURRENT_CANON,COPY,3dae687c01bc9365a66253ae7a76b147c2c760605f4c5a94162c138a41bad838,3dae687c01bc9365a66253ae7a76b147c2c760605f4c5a94162c138a41bad838,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S028,K03,02_project_knowledge/议会片段.txt,04_REFERENCE/02_project_knowledge/议会片段.txt,REFERENCE,REFERENCE,COPY,430668fe9f846bddae1d1ffeb4beacb27f5bdfac33c710eafe78433f6f05790a,430668fe9f846bddae1d1ffeb4beacb27f5bdfac33c710eafe78433f6f05790a,原著、参考附件、包装元数据或其他非正式正文。
S029,K01,02_project_knowledge/设定集.docx.extracted.txt,04_REFERENCE/02_project_knowledge/设定集.docx.extracted.txt,REFERENCE,REFERENCE,COPY,4679bd109a23b5b73b7d2f6575c477fa7033687cd6bbf2966ff71049081a087d,4679bd109a23b5b73b7d2f6575c477fa7033687cd6bbf2966ff71049081a087d,原著、参考附件、包装元数据或其他非正式正文。
S030,K11,02_project_knowledge/银烛会_v2_4.md,01_CURRENT_CANON/军事与防务/银烛会_v2_4.md,CURRENT_CANON,CURRENT_CANON,COPY,82912245fa346ca98cf8e9a78dd4bd81a108bed5e5dc8b5bd8060fd7bff399cf,82912245fa346ca98cf8e9a78dd4bd81a108bed5e5dc8b5bd8060fd7bff399cf,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S031,K12,02_project_knowledge/银色联盟宪章_v0_4.md,01_CURRENT_CANON/宪政与治理/银色联盟宪章_v0_4.md,CURRENT_CANON,CURRENT_CANON,COPY,ebcc0836d1c0e9dc9bed4dfada366f93f5bb0996f840aab08431f562774654ca,ebcc0836d1c0e9dc9bed4dfada366f93f5bb0996f840aab08431f562774654ca,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S077,H04,02_project_knowledge/银色联盟施法许可与节点取能规程_v1_0/._.DS_Store,04_REFERENCE/02_project_knowledge/银色联盟施法许可与节点取能规程_v1_0/._.DS_Store,REFERENCE,REFERENCE,COPY,7d08a9fcff3175f341e4ff3e2d36faefe08bac19f65ed9b49b975bb5d13ff2aa,7d08a9fcff3175f341e4ff3e2d36faefe08bac19f65ed9b49b975bb5d13ff2aa,原著、参考附件、包装元数据或其他非正式正文。
S078,H05,02_project_knowledge/银色联盟施法许可与节点取能规程_v1_0/._节点接入与取能许可规程_草案_v1_0.md,04_REFERENCE/02_project_knowledge/银色联盟施法许可与节点取能规程_v1_0/._节点接入与取能许可规程_草案_v1_0.md,REFERENCE,REFERENCE,COPY,23596a0b03ba6f8f7b345c6f5aabc3dcbc2a45666962b14ea7ea7e5cfc0e1ef2,23596a0b03ba6f8f7b345c6f5aabc3dcbc2a45666962b14ea7ea7e5cfc0e1ef2,原著、参考附件、包装元数据或其他非正式正文。
S079,H06,02_project_knowledge/银色联盟施法许可与节点取能规程_v1_0/._高阶施法许可规程_草案_v1_0.md,04_REFERENCE/02_project_knowledge/银色联盟施法许可与节点取能规程_v1_0/._高阶施法许可规程_草案_v1_0.md,REFERENCE,REFERENCE,COPY,dcaaf18188a1dbfda013bc45450640736fe336641b7d3f87b873060e3aab9916,dcaaf18188a1dbfda013bc45450640736fe336641b7d3f87b873060e3aab9916,原著、参考附件、包装元数据或其他非正式正文。
S080,H07,02_project_knowledge/银色联盟施法许可与节点取能规程_v1_0/.DS_Store,04_REFERENCE/02_project_knowledge/银色联盟施法许可与节点取能规程_v1_0/.DS_Store,REFERENCE,REFERENCE,COPY,f081b0ba3a397608e3466af19af71fae6187803c1bab4dd6d8c1ad1831a0c62d,f081b0ba3a397608e3466af19af71fae6187803c1bab4dd6d8c1ad1831a0c62d,原著、参考附件、包装元数据或其他非正式正文。
S081,H08,02_project_knowledge/银色联盟施法许可与节点取能规程_v1_0/节点接入与取能许可规程_草案_v1_0.md,02_PROPOSALS/银色联盟施法许可与节点取能规程_v1_0/节点接入与取能许可规程_草案_v1_0.md,PROPOSAL,PROPOSAL,COPY,68c9e3570155c50a6674dbcb598d2b7fb5043a3f67605de3c0de575f13230ef8,68c9e3570155c50a6674dbcb598d2b7fb5043a3f67605de3c0de575f13230ef8,完整草案，未获明确采纳。
S082,H09,02_project_knowledge/银色联盟施法许可与节点取能规程_v1_0/高阶施法许可规程_草案_v1_0.md,02_PROPOSALS/银色联盟施法许可与节点取能规程_v1_0/高阶施法许可规程_草案_v1_0.md,PROPOSAL,PROPOSAL,COPY,7f48ddf6e8279ff2bb9cf03626e1bf018dc2095898090cfae2ca631b6ff2f405,7f48ddf6e8279ff2bb9cf03626e1bf018dc2095898090cfae2ca631b6ff2f405,完整草案，未获明确采纳。
S083,H10,02_project_knowledge/银色联盟防务基本法_草案_v2_0.md,05_SUPERSEDED/02_project_knowledge/银色联盟防务基本法_草案_v2_0.md,SUPERSEDED,historical text,COPY,d0d07f58454fc893c221ef5c9c31f09ef9feacba72c7796d9f99a480d53c38fe,d0d07f58454fc893c221ef5c9c31f09ef9feacba72c7796d9f99a480d53c38fe,有明确后续替代关系的旧正文；保留沿革。
S084,H11,02_project_knowledge/银色联盟防务基本法_草案_v2_1_改进版.md,05_SUPERSEDED/02_project_knowledge/银色联盟防务基本法_草案_v2_1_改进版.md,SUPERSEDED,historical text,COPY,02a655ceb08e767bddaada406890ed1b6ce2fc462f1cf4a9edb0ce44ef5d8027,02a655ceb08e767bddaada406890ed1b6ce2fc462f1cf4a9edb0ce44ef5d8027,有明确后续替代关系的旧正文；保留沿革。
S085,H12,02_project_knowledge/银色联盟防务基本法_草案_v2_2.md,05_SUPERSEDED/02_project_knowledge/银色联盟防务基本法_草案_v2_2.md,SUPERSEDED,historical text,COPY,14a314fa255f391d7ac4c45b2484fbc1c80fe664e8e65d182f6d6cf6789547cf,14a314fa255f391d7ac4c45b2484fbc1c80fe664e8e65d182f6d6cf6789547cf,有明确后续替代关系的旧正文；保留沿革。
S032,K18,02_project_knowledge/银色联盟防务基本法_草案_v2_5.md,01_CURRENT_CANON/军事与防务/银色联盟防务基本法_草案_v2_5.md,CURRENT_CANON,CURRENT_CANON,COPY,8a1614cb21590174d97e487e93f90f7f9701f1261fb886ca1f95799b87ab47ef,8a1614cb21590174d97e487e93f90f7f9701f1261fb886ca1f95799b87ab47ef,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S086,H13,02_project_knowledge/银色联盟魔法法系_v1_2_改进版/._法术环级标准_修订稿_v1_2_改进版.md,04_REFERENCE/02_project_knowledge/银色联盟魔法法系_v1_2_改进版/._法术环级标准_修订稿_v1_2_改进版.md,REFERENCE,REFERENCE,COPY,4184a33359d02426a0b53f7621117c50c656fde1defbf036eac93de38d9b79a0,4184a33359d02426a0b53f7621117c50c656fde1defbf036eac93de38d9b79a0,原著、参考附件、包装元数据或其他非正式正文。
S087,H14,02_project_knowledge/银色联盟魔法法系_v1_2_改进版/._环级认定规程_修订稿_v1_2_改进版.md,04_REFERENCE/02_project_knowledge/银色联盟魔法法系_v1_2_改进版/._环级认定规程_修订稿_v1_2_改进版.md,REFERENCE,REFERENCE,COPY,e05ae5550f27f7eb266a8ba52bd0fa497543251dd45f76a938a7c39911202f97,e05ae5550f27f7eb266a8ba52bd0fa497543251dd45f76a938a7c39911202f97,原著、参考附件、包装元数据或其他非正式正文。
S088,H15,02_project_knowledge/银色联盟魔法法系_v1_2_改进版/._禁魔分区规程_修订稿_v1_2_改进版.md,04_REFERENCE/02_project_knowledge/银色联盟魔法法系_v1_2_改进版/._禁魔分区规程_修订稿_v1_2_改进版.md,REFERENCE,REFERENCE,COPY,9c4fbae1db7781b6acecb9ac62e2dc4de185b4db2b32bc84d1f19b07c41877c8,9c4fbae1db7781b6acecb9ac62e2dc4de185b4db2b32bc84d1f19b07c41877c8,原著、参考附件、包装元数据或其他非正式正文。
S089,H16,02_project_knowledge/银色联盟魔法法系_v1_2_改进版/._魔法基本法_修订稿_v1_2_改进版.md,04_REFERENCE/02_project_knowledge/银色联盟魔法法系_v1_2_改进版/._魔法基本法_修订稿_v1_2_改进版.md,REFERENCE,REFERENCE,COPY,0539ba1c9a17249841ab14098d188cf457b57854f7d2a37511b515f9f92fa941,0539ba1c9a17249841ab14098d188cf457b57854f7d2a37511b515f9f92fa941,原著、参考附件、包装元数据或其他非正式正文。
S090,H17,02_project_knowledge/银色联盟魔法法系_v1_2_改进版/法术环级标准_修订稿_v1_2_改进版.md,03_UNRESOLVED/02_project_knowledge/银色联盟魔法法系_v1_2_改进版/法术环级标准_修订稿_v1_2_改进版.md,UNRESOLVED,undetermined,COPY,d6b562b4723cdc8e9eae83011c6f34ad2f51d07ea46f152fb9328523c81fcfa5,d6b562b4723cdc8e9eae83011c6f34ad2f51d07ea46f152fb9328523c81fcfa5,整文件状态未决；条款优先级另见冲突/改进版映射，不整份升格或废弃。
S091,H18,02_project_knowledge/银色联盟魔法法系_v1_2_改进版/环级认定规程_修订稿_v1_2_改进版.md,03_UNRESOLVED/02_project_knowledge/银色联盟魔法法系_v1_2_改进版/环级认定规程_修订稿_v1_2_改进版.md,UNRESOLVED,undetermined,COPY,5e1cbe6a2f426f35370255012be749d32443ce1d0e676a555216274d21920c83,5e1cbe6a2f426f35370255012be749d32443ce1d0e676a555216274d21920c83,整文件状态未决；条款优先级另见冲突/改进版映射，不整份升格或废弃。
S092,H19,02_project_knowledge/银色联盟魔法法系_v1_2_改进版/禁魔分区规程_修订稿_v1_2_改进版.md,03_UNRESOLVED/02_project_knowledge/银色联盟魔法法系_v1_2_改进版/禁魔分区规程_修订稿_v1_2_改进版.md,UNRESOLVED,undetermined,COPY,64c8ae977e90bdf32d63d6e35109a3cd6cd0022fa9cfdbd1fb8c1dc200f8ad54,64c8ae977e90bdf32d63d6e35109a3cd6cd0022fa9cfdbd1fb8c1dc200f8ad54,整文件状态未决；条款优先级另见冲突/改进版映射，不整份升格或废弃。
S093,H20,02_project_knowledge/银色联盟魔法法系_v1_2_改进版/魔法基本法_修订稿_v1_2_改进版.md,03_UNRESOLVED/02_project_knowledge/银色联盟魔法法系_v1_2_改进版/魔法基本法_修订稿_v1_2_改进版.md,UNRESOLVED,undetermined,COPY,4a81bb71d9365e794a294fabc3c854e929e6aee3df30478e223833cf687d3f4f,4a81bb71d9365e794a294fabc3c854e929e6aee3df30478e223833cf687d3f4f,整文件状态未决；条款优先级另见冲突/改进版映射，不整份升格或废弃。
S094,H21,02_project_knowledge/魔法基本法_修订稿_v1_1.md,05_SUPERSEDED/02_project_knowledge/魔法基本法_修订稿_v1_1.md,SUPERSEDED,historical text,COPY,bacad9f80760a6d3b8b0bfe220b0e4f27604336a506290c42195bbabe43e4b21,bacad9f80760a6d3b8b0bfe220b0e4f27604336a506290c42195bbabe43e4b21,有明确后续替代关系的旧正文；保留沿革。
S033,K20,02_project_knowledge/魔法基本法_草案_v1_2_.md,01_CURRENT_CANON/魔法体系与魔法法/魔法基本法_草案_v1_2_.md,CURRENT_CANON,CURRENT_CANON,COPY,ea9af7e6562aecc7263752ba345914abaded8045a7f81f61fb83b1dc708e79f9,ea9af7e6562aecc7263752ba345914abaded8045a7f81f61fb83b1dc708e79f9,保持现存正文和版本字节不变；冲突条款受AUTHOR_CANON限制。
S034,,03_conversations/CONVERSATION_INDEX.csv,06_HISTORY/CONVERSATION_INDEX.csv,REFERENCE,REFERENCE,COPY,1347894b384aff84f80352129a0928eb6b58eae7c6fd9c423c4190b7525fb356,1347894b384aff84f80352129a0928eb6b58eae7c6fd9c423c4190b7525fb356,对话容器是历史证据；明确作者决定单独列EXPLICIT_AUTHOR_DECISION。
S035,C01,03_conversations/current_project/2026-03-10_材料阅读请求_07b6e36b.md,06_HISTORY/current_project/2026-03-10_材料阅读请求_07b6e36b.md,REFERENCE,REFERENCE,COPY,33d3ea61f98356997ac8ccdfa49a57b0ba55ee56bf51817ec756855714fcf54a,33d3ea61f98356997ac8ccdfa49a57b0ba55ee56bf51817ec756855714fcf54a,对话容器是历史证据；明确作者决定单独列EXPLICIT_AUTHOR_DECISION。
S036,C02,03_conversations/current_project/2026-03-12_世界观设定的准备工作_aa2fae6a.md,06_HISTORY/current_project/2026-03-12_世界观设定的准备工作_aa2fae6a.md,REFERENCE,REFERENCE,COPY,63724d12f269db72b4d952d16e30e8f725dc6fae8983886a31cd2b2a9c05c65a,63724d12f269db72b4d952d16e30e8f725dc6fae8983886a31cd2b2a9c05c65a,对话容器是历史证据；明确作者决定单独列EXPLICIT_AUTHOR_DECISION。
S037,C03,03_conversations/current_project/2026-03-13_银烛会的下一步发展_1c1505f0.md,06_HISTORY/current_project/2026-03-13_银烛会的下一步发展_1c1505f0.md,REFERENCE,REFERENCE,COPY,479c3075c4e3342502a6eade4964489458097edf0d67d6c04f78355c77c4c957,479c3075c4e3342502a6eade4964489458097edf0d67d6c04f78355c77c4c957,对话容器是历史证据；明确作者决定单独列EXPLICIT_AUTHOR_DECISION。
S038,C04,03_conversations/current_project/2026-03-16_文件整理与职级体系统一_260d1cb0.md,06_HISTORY/current_project/2026-03-16_文件整理与职级体系统一_260d1cb0.md,REFERENCE,REFERENCE,COPY,396bde4bb3457d66954d8f8504171eae07417f49e6944df1f4bb2ca963c5fb3f,396bde4bb3457d66954d8f8504171eae07417f49e6944df1f4bb2ca963c5fb3f,对话容器是历史证据；明确作者决定单独列EXPLICIT_AUTHOR_DECISION。
S039,C05,03_conversations/current_project/2026-06-06_国家体系架构审查与优化_47637310.md,06_HISTORY/current_project/2026-06-06_国家体系架构审查与优化_47637310.md,REFERENCE,REFERENCE,COPY,bd1c8bc3b9dcad63a3ff251408d51cf4ed2d76a899472df9004e711e04c5a447,bd1c8bc3b9dcad63a3ff251408d51cf4ed2d76a899472df9004e711e04c5a447,对话容器是历史证据；明确作者决定单独列EXPLICIT_AUTHOR_DECISION。
S040,C06,03_conversations/current_project/2026-06-09_文件冲突检查_51a3bf13.md,06_HISTORY/current_project/2026-06-09_文件冲突检查_51a3bf13.md,REFERENCE,REFERENCE,COPY,73eb6d34bc366f1c56ab0951178db0769169465b167dc58039e83bdc38874969,73eb6d34bc366f1c56ab0951178db0769169465b167dc58039e83bdc38874969,对话容器是历史证据；明确作者决定单独列EXPLICIT_AUTHOR_DECISION。
S041,C07,03_conversations/current_project/2026-06-27_军事组织结构与防务法律改革_344f727e.md,06_HISTORY/current_project/2026-06-27_军事组织结构与防务法律改革_344f727e.md,REFERENCE,REFERENCE,COPY,78ff6d10a042a2d96742a28c9cdf10df7c780575ffd786ca0fbab6aa35b72a61,78ff6d10a042a2d96742a28c9cdf10df7c780575ffd786ca0fbab6aa35b72a61,对话容器是历史证据；明确作者决定单独列EXPLICIT_AUTHOR_DECISION。
S042,C08,03_conversations/current_project/2026-06-29_机构设置方案评审_cf2ae9d7.md,06_HISTORY/current_project/2026-06-29_机构设置方案评审_cf2ae9d7.md,REFERENCE,REFERENCE,COPY,862fd9a717a6587737d79017e31370e64343f4b9e6264342d9897a9328114836,862fd9a717a6587737d79017e31370e64343f4b9e6264342d9897a9328114836,对话容器是历史证据；明确作者决定单独列EXPLICIT_AUTHOR_DECISION。
S043,C09,03_conversations/current_project/2026-07-01_文件审查和后续建议_36b918b4.md,06_HISTORY/current_project/2026-07-01_文件审查和后续建议_36b918b4.md,REFERENCE,REFERENCE,COPY,2063a24bcfa2c38a52d94aa2f204cde84e06042a6b77e485ad2149ae618e633d,2063a24bcfa2c38a52d94aa2f204cde84e06042a6b77e485ad2149ae618e633d,对话容器是历史证据；明确作者决定单独列EXPLICIT_AUTHOR_DECISION。
